path	size	sha256	blob_oid	scan_status	scanners
.gitattributes	1805		3deb84dbe96ea8d0cb895fd7f02d83e14f5604e5	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
MERaLiON-Public-Licence-v3.pdf	186661	5de8bb1ea3c6e3d5e0cc588f8b3743dcc00e7bf7df0c261082aada94c2842e11	8326973046da26e30d468962b910abf229d3da97	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
README.md	48855		98b9a3184bc69a72e9588a802b2259aad525dfa1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
config.json	2823		46dbcc00bd92ff0bb2b4ffeb7c5595caa517d540	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
configuration_meralion2.py	2933		3bf6a61bb1425edd3178e2db8bb37715c6132afb	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
generation_config.json	197		7c0a0ccd46b71d6813f964315e3f9d8f0f6bfc5e	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
model-00001-of-00005.safetensors	4944547928	f3d2166f3c168ce1c446fb8473f40840594aac988f846506557f798607c71054	482dd2df26bedbc3bbc1647abdb0f73240f5d49c	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00002-of-00005.safetensors	4991612584	324708c9a3f19490c146ac8ab9f470b7dc68745edb864982debc480aad3b007f	7309c9422df3c6b25282b264204a06d8a80deaae	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00003-of-00005.safetensors	4918183272	5e68949c5c760558b98f0728b9bf81653b2c95342b746a0c6b788fded33b970c	ec7abb3a400047fdd7417b82e23665bf4d81d435	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00004-of-00005.safetensors	4991612648	396a57bb9974d9aa04793bdbb69209bb719b36382cb98a91d6a1d331d39f5a8b	3fce4766e8127a78e2967779f2b0be691544cfb7	safe	protectAiScan=safe;avScan=unscanned;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=safe
model-00005-of-00005.safetensors	367038856	0a1e95e5975aea36eab0706275c54bdb3265720a889b371296d6b5584cf5e2a8	20e250204c581a90fffd54d7ff1415ddd8acceaf	safe	protectAiScan=safe;avScan=safe;pickleImportScan=safe;virusTotalScan=safe;jFrogScan=safe
model.safetensors.index.json	88661		129d97d18720b5b085312f1074efc6a691f61275	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
modeling_meralion2.py	27539		2006ecc2c9971e0021a3ba49fbca8e4a6ff503f6	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
preprocessor_config.json	443		c80f44790b75604a19cf525c7401d044295d395f	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
processing_meralion2.py	8953		c84b4a420f8394732d56b6871aa505a8b7ad6783	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
processor_config.json	281		c57b16d978c2d78d4b206a49ba9ae560c26ca560	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
radar_asr.png	1433927	f470c1fb148f3bb30d8cbc9d2fd3bc7b38957308ec5e6c22834105c790ad4793	268056981bb92ac82c3b8948949d26e2ed434409	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
radar_task.png	1215994	ad9b118a93685b3fd7ce8df2a5e3bf6b1df413454c282b9267ae9e296e9e4b54	856c64ec4c7259b3fbe354befcd0f9b133e8eefc	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
special_tokens_map.json	636		8d6368f7e735fbe4781bf6e956b7c6ad0586df80	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
tokenizer.json	34362877	0ead607d5168e96c02d261dfac8408c63ff2f52e0ac240ac89d0450b3ec805d8	1938fa79699333a4a70d3b78a6f6dda2e12c88d5	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer.model	4241003	61a7b147390c64585d6c3543dd6fc636906c9af3865a5548f27f31aee1d4c8e2	796efe9ab515c15e146ce7588e6d7b9b8134dbf8	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=safe;jFrogScan=unscanned
tokenizer_config.json	46915		1815f18a06efc2e96eed99ef443388fec03d85d1	safe	protectAiScan=safe;avScan=safe;pickleImportScan=unscanned;virusTotalScan=unscanned;jFrogScan=unscanned
